Car_ID,Brand,Model,Year,Fuel_Type,Color,Mileage_kmpl
C1093,Ford,City,2017,CNG,Blue,17.84
C1094,Maruti,Seltos,2007,Petrol,Silver,20.37
C1095,Tata,Polo,2019,CNG,Silver,20.35
C1096,Tata,Creta,2006,CNG,Red,19.15
C1097,Honda,Seltos,2010,Diesel,Green,24.42
C1098,Mahindra,City,2017,Electric,Grey,10.87
C1099,Toyota,Swift,2013,Petrol,Yellow,12.9
C1100,Kia,Polo,2007,CNG,White,10.7
C1101,Renault,Seltos,2006,CNG,Black,17.95
C1102,Ford,Nexon,2023,Petrol,White,23.71
C1103,Maruti,Seltos,2009,Electric,Blue,10.21
C1104,Mahindra,Swift,2019,Electric,Silver,23.71
C1105,Ford,Seltos,2011,CNG,Grey,14.61
C1106,Ford,Creta,2011,CNG,White,13.44
C1107,Mahindra,Ecosport,2019,Hybrid,Black,13.03
C1108,Honda,Seltos,2024,Electric,White,12.06
C1109,Mahindra,City,2024,Petrol,Silver,16.27
C1110,Renault,Ecosport,2005,Diesel,Green,21.65
C1111,Renault,Polo,2022,CNG,Yellow,22.27
C1112,Volkswagen,Nexon,2014,Hybrid,Blue,24.79
C1113,Toyota,Swift,2011,Diesel,Black,22.25
C1114,Toyota,Polo,2006,Petrol,Green,23.73
C1115,Honda,Swift,2024,Electric,White,23.86
C1116,Mahindra,Ecosport,2009,Electric,Grey,17.01
C1117,Maruti,Duster,2008,Diesel,Silver,22.48
C1118,Renault,Swift,2012,Hybrid,White,18.53
C1119,Toyota,Duster,2011,CNG,Red,24.36
C1120,Kia,Swift,2020,Petrol,Silver,23.26
C1121,Hyundai,Swift,2017,CNG,Black,14.44
C1122,Renault,Creta,2011,Hybrid,Green,21.76
C1123,Volkswagen,Swift,2024,Hybrid,Yellow,12.81
C1124,Kia,XUV500,2022,Petrol,White,12.37
C1125,Honda,Nexon,2005,CNG,Grey,20.02
C1126,Hyundai,Ecosport,2013,Diesel,Yellow,19.55
C1127,Renault,Seltos,2023,Hybrid,White,14.16
C1128,Mahindra,XUV500,2010,CNG,Blue,14.24
C1129,Honda,Ecosport,2017,Hybrid,White,15.69
C1130,Toyota,Creta,2023,Petrol,Yellow,10.29
C1131,Maruti,Ecosport,2007,Petrol,White,14.76
C1132,Renault,Innova,2014,Petrol,Yellow,21.44
C1133,Ford,City,2019,Electric,Blue,10.71
C1134,Hyundai,Swift,2011,CNG,Blue,19.3
C1135,Maruti,Creta,2008,Electric,Yellow,11.29
C1136,Hyundai,Creta,2009,Diesel,Grey,11.44
C1137,Maruti,Swift,2005,Hybrid,Yellow,19.78
C1138,Mahindra,Innova,2019,Hybrid,White,10.56
C1139,Hyundai,Duster,2024,Diesel,Black,17.46
C1140,Honda,Creta,2022,Hybrid,Green,10.42
C1141,Toyota,Duster,2014,Petrol,Grey,14.45
C1142,Volkswagen,XUV500,2007,Petrol,Silver,13.9
C1143,Hyundai,Duster,2020,CNG,Black,14.64
C1144,Mahindra,Polo,2019,Electric,Green,19.41
C1145,Mahindra,Seltos,2015,Diesel,Yellow,14.94
C1146,Hyundai,Seltos,2019,CNG,White,23.52
C1147,Maruti,Seltos,2019,Diesel,Red,20.37
C1148,Mahindra,Innova,2006,Electric,Silver,17.66
C1149,Kia,City,2008,Diesel,White,12.6
C1150,Mahindra,Creta,2014,Hybrid,Green,24.13
C1151,Kia,Innova,2008,Petrol,Grey,20.68
C1152,Tata,Duster,2013,Electric,Yellow,17.2
C1153,Maruti,Nexon,2011,Diesel,Black,20.11
C1154,Volkswagen,Polo,2007,Electric,Silver,20.36
C1155,Volkswagen,Seltos,2018,Hybrid,Red,10.67
C1156,Hyundai,Creta,2016,CNG,Blue,22.11
C1157,Mahindra,Swift,2017,Diesel,Red,24.64
C1158,Kia,Seltos,2009,Hybrid,Grey,20.08
C1159,Mahindra,Nexon,2014,Petrol,White,14.17
C1160,Kia,XUV500,2015,Diesel,Red,23.51
C1161,Maruti,Duster,2009,CNG,Green,24.11
C1162,Maruti,Creta,2021,Diesel,Grey,23.71
C1163,Honda,Duster,2024,Electric,Yellow,20.54
C1164,Tata,Duster,2016,Hybrid,Blue,15.19
C1165,Honda,XUV500,2019,CNG,Grey,10.23
C1166,Renault,Swift,2024,Hybrid,White,17.74
C1167,Honda,XUV500,2012,CNG,White,19.87
C1168,Ford,City,2011,Petrol,White,21.95
C1169,Tata,City,2018,Petrol,Grey,12.64
C1170,Renault,Innova,2008,Hybrid,Green,12.79
C1171,Honda,Nexon,2010,Petrol,Grey,10.25
C1172,Ford,Seltos,2008,Petrol,White,12.57
C1173,Hyundai,Creta,2009,Electric,White,10.94
C1174,Maruti,Nexon,2023,Hybrid,Yellow,11.81
C1175,Hyundai,XUV500,2016,Electric,White,20.15
C1176,Hyundai,Seltos,2015,Electric,Silver,14.17
C1177,Toyota,City,2015,Hybrid,Red,18.52
C1178,Renault,Seltos,2017,CNG,Grey,21.95
C1179,Ford,Seltos,2020,CNG,Blue,11.36
C1180,Hyundai,Ecosport,2024,Electric,White,11.75
C1181,Honda,Seltos,2014,CNG,Silver,16.14
C1182,Honda,Swift,2014,Petrol,Blue,18.12
C1183,Kia,Ecosport,2012,Petrol,Yellow,18.23
C1184,Kia,XUV500,2024,Hybrid,Green,19.23
C1185,Mahindra,Seltos,2015,CNG,Grey,14.93
C1186,Kia,Duster,2005,Electric,Green,13.7
C1187,Toyota,Swift,2017,Electric,Green,16.83
C1188,Kia,Polo,2015,Diesel,Grey,17.36
C1189,Maruti,City,2015,Diesel,Green,12.99
C1190,Hyundai,Swift,2020,Petrol,Red,18.22
C1191,Maruti,Polo,2020,CNG,Blue,10.29
C1192,Toyota,Ecosport,2017,CNG,Green,21.47
C1193,Kia,Nexon,2018,Petrol,Grey,20.58
C1194,Volkswagen,Creta,2022,Diesel,Black,23.7
C1195,Mahindra,Innova,2016,CNG,Silver,11.7
C1196,Tata,Polo,2008,Hybrid,White,20.47
C1197,Mahindra,Polo,2020,Electric,Silver,16.4
C1198,Maruti,Creta,2024,Electric,Yellow,23.73
C1199,Volkswagen,City,2016,CNG,Green,17.38
C1200,Toyota,Nexon,2019,Hybrid,White,17.76
C1201,Tata,Seltos,2011,Diesel,Blue,24
C1202,Tata,Seltos,2014,Hybrid,Green,22.6
C1203,Maruti,Ecosport,2012,Electric,Black,12.57
C1204,Maruti,Ecosport,2017,Petrol,Blue,12.39
C1205,Ford,City,2011,Electric,Yellow,22.09
C1206,Volkswagen,Seltos,2013,Electric,Black,23.64
C1207,Renault,Nexon,2007,Electric,Blue,16.25
C1208,Renault,City,2022,Diesel,Silver,20.3
C1209,Hyundai,Innova,2020,Petrol,Black,22.65
C1210,Volkswagen,City,2021,Electric,Red,17.7
C1211,Volkswagen,Innova,2018,Electric,Silver,10.62
C1212,Tata,Nexon,2010,CNG,Black,15.6
C1213,Toyota,Ecosport,2021,Hybrid,Yellow,14.92
C1214,Honda,Creta,2020,Electric,White,20.46
C1215,Hyundai,Duster,2013,CNG,Blue,13.9
C1216,Toyota,Ecosport,2020,Diesel,Silver,19.46
C1217,Ford,Polo,2008,CNG,Yellow,23.28
C1218,Renault,Nexon,2023,Diesel,Green,23.17
C1219,Maruti,City,2007,Electric,Green,13.62
C1220,Renault,Creta,2021,Petrol,Red,10.3
C1221,Volkswagen,Duster,2021,CNG,Green,10.21
C1222,Kia,City,2016,Diesel,White,15.49
C1223,Mahindra,Innova,2011,CNG,Green,24.57
C1224,Mahindra,Creta,2023,Diesel,White,12.07
C1225,Ford,Creta,2024,Hybrid,Yellow,12.79
C1226,Honda,Nexon,2008,Hybrid,Red,13.57
C1227,Honda,City,2011,Petrol,Yellow,24.04
C1228,Volkswagen,Creta,2022,Diesel,Red,24.12
C1229,Tata,Swift,2005,Electric,Grey,21.91
C1230,Tata,Swift,2013,Diesel,Red,15.21
C1231,Hyundai,Polo,2013,Hybrid,Grey,11.19
C1232,Ford,XUV500,2005,CNG,Green,18.59
C1233,Renault,City,2017,Electric,Red,20.22
C1234,Hyundai,Duster,2021,Hybrid,Blue,17.64
C1235,Hyundai,Creta,2018,Electric,Black,16.18
C1236,Renault,Polo,2012,Hybrid,Grey,12.26
C1237,Hyundai,Nexon,2008,Hybrid,White,12.62
C1238,Volkswagen,Nexon,2006,Petrol,Green,22.28
C1239,Maruti,XUV500,2009,Electric,Yellow,19.94
C1240,Tata,XUV500,2023,Electric,Green,10.49
C1241,Maruti,XUV500,2014,CNG,Silver,22.55
C1242,Tata,XUV500,2008,Diesel,White,21.7
C1243,Tata,XUV500,2024,Petrol,Red,22.34
C1244,Ford,Nexon,2024,CNG,Blue,19.38
C1245,Kia,Innova,2009,Petrol,White,22.3
C1246,Hyundai,Duster,2007,Electric,Green,23.67
C1247,Toyota,City,2018,Petrol,Silver,11.29
C1248,Renault,Ecosport,2024,Hybrid,Silver,16.99
C1249,Honda,Ecosport,2010,CNG,Silver,23.9
C1250,Tata,City,2012,Electric,Grey,11.29
C1251,Renault,Nexon,2022,Electric,White,21.21
C1252,Hyundai,Polo,2013,Electric,Green,12.65
C1253,Volkswagen,City,2008,Petrol,Red,24.49
C1254,Toyota,Creta,2006,CNG,Black,10.02
C1255,Mahindra,Creta,2009,Hybrid,Green,12.09
C1256,Renault,XUV500,2017,CNG,Black,16.39
C1257,Volkswagen,City,2013,Diesel,Red,13.5
C1258,Renault,Ecosport,2014,Hybrid,Blue,15.32
C1259,Hyundai,Swift,2011,Petrol,Grey,20.68
C1260,Honda,Swift,2006,Electric,Red,21.47
C1261,Toyota,City,2015,Petrol,Silver,18.95
C1262,Maruti,Polo,2015,Hybrid,Silver,20.75
C1263,Renault,City,2008,Petrol,Yellow,13.92
C1264,Hyundai,Polo,2013,Diesel,Black,21.88
C1265,Kia,Seltos,2012,CNG,Red,19.85
C1266,Ford,City,2020,Electric,White,10.67
C1267,Kia,Duster,2020,Hybrid,Red,12.79
C1268,Hyundai,City,2014,CNG,Grey,12.21
C1269,Maruti,Seltos,2006,Hybrid,White,14.48
C1270,Maruti,Swift,2014,Diesel,Grey,22.98
C1271,Mahindra,Swift,2005,Electric,White,14.6
C1272,Maruti,Creta,2006,Diesel,Grey,23.49
C1273,Tata,Polo,2005,CNG,Grey,19.96
C1274,Honda,Swift,2020,Hybrid,White,11.73
C1275,Ford,Innova,2006,Electric,White,14.87
C1276,Mahindra,Innova,2009,Hybrid,Silver,10.47
C1277,Hyundai,Ecosport,2019,CNG,Green,19.48
C1278,Kia,Seltos,2024,CNG,Yellow,18.83
C1279,Honda,City,2010,CNG,Grey,22.94
C1280,Hyundai,Seltos,2020,Hybrid,Black,18.58
C1281,Hyundai,Creta,2010,Petrol,Grey,19.82
C1282,Renault,Nexon,2023,Electric,White,22.85
C1283,Mahindra,XUV500,2005,CNG,Black,22.76
C1284,Mahindra,City,2006,Petrol,Blue,12
C1285,Hyundai,Innova,2016,Diesel,Red,16.73
C1286,Volkswagen,Swift,2007,Diesel,Green,13.65
C1287,Volkswagen,Ecosport,2011,Electric,Yellow,19.24
C1288,Toyota,Ecosport,2006,CNG,Grey,20.44
C1289,Volkswagen,XUV500,2008,CNG,Silver,12.36
C1290,Honda,Seltos,2010,Diesel,Blue,12.96
C1291,Tata,Ecosport,2010,Hybrid,Silver,22.06
C1292,Hyundai,Creta,2019,Hybrid,Yellow,16.57
C1293,Kia,Creta,2020,Petrol,Green,16.22
C1294,Tata,City,2017,Petrol,Red,18.07
C1295,Maruti,Nexon,2023,Electric,Black,12.53
C1296,Renault,Nexon,2008,CNG,White,17.6
C1297,Maruti,City,2020,CNG,Silver,24.09
C1298,Maruti,XUV500,2007,Petrol,Silver,20.72
C1299,Volkswagen,Innova,2009,CNG,Yellow,17.33
C1300,Honda,Polo,2012,Petrol,Black,15.98
C1301,Ford,Seltos,2024,Electric,Black,15.53
C1302,Hyundai,Duster,2010,Electric,Red,18.22
C1303,Renault,City,2023,Electric,Blue,21.46
C1304,Hyundai,Seltos,2007,Hybrid,White,13.59
C1305,Kia,City,2018,CNG,Yellow,11.78
C1306,Hyundai,Duster,2015,Diesel,Black,15.58
C1307,Maruti,XUV500,2014,CNG,Red,16.02
C1308,Volkswagen,Duster,2013,Petrol,Silver,20.14
C1309,Hyundai,City,2015,Hybrid,Grey,12.77
C1310,Tata,Ecosport,2012,CNG,Blue,23.5
C1311,Tata,Ecosport,2023,Diesel,Silver,16.11
C1312,Ford,Duster,2015,Hybrid,White,16.35
C1313,Toyota,City,2016,Petrol,Black,12.06
C1314,Kia,Innova,2008,Electric,Red,20.89
C1315,Renault,Seltos,2006,Hybrid,Black,24.53
C1316,Ford,Ecosport,2005,Diesel,Red,13.29
C1317,Volkswagen,Duster,2011,Diesel,Green,15.53
C1318,Ford,Ecosport,2016,Electric,Silver,22.18
C1319,Honda,Creta,2024,Diesel,Blue,24.07
C1320,Maruti,City,2019,CNG,Red,14.36
C1321,Kia,City,2016,Petrol,Green,17.24
C1322,Tata,Innova,2008,Diesel,Black,13.38
C1323,Tata,Creta,2013,Electric,Blue,16.55
C1324,Volkswagen,XUV500,2019,Petrol,Yellow,12.68
C1325,Renault,Innova,2013,Electric,Yellow,15.38
C1326,Mahindra,Duster,2018,Hybrid,White,23.29
C1327,Volkswagen,Swift,2011,Diesel,White,14.69
C1328,Maruti,Innova,2022,Electric,Silver,22.08
C1329,Volkswagen,Nexon,2020,Diesel,Red,22.6
C1330,Toyota,Polo,2007,Hybrid,Red,12.05
C1331,Honda,XUV500,2016,Hybrid,Blue,19.02
C1332,Toyota,Ecosport,2018,Hybrid,Yellow,19.03
C1333,Renault,Seltos,2021,Petrol,White,11.47
C1334,Volkswagen,Polo,2017,Electric,White,15.73
C1335,Volkswagen,Seltos,2016,Electric,Grey,10.55
C1336,Maruti,Innova,2013,Petrol,Green,14.39
C1337,Toyota,Swift,2008,Diesel,Red,15.31
C1338,Tata,Swift,2008,CNG,Blue,24.14
C1339,Volkswagen,Seltos,2019,Petrol,Grey,15.23
C1340,Maruti,Creta,2022,Electric,Yellow,18.5
C1341,Hyundai,Nexon,2018,CNG,Grey,22.03
C1342,Toyota,City,2009,Electric,Green,10.85
C1343,Honda,Duster,2017,Petrol,Yellow,19.76
C1344,Maruti,Swift,2017,CNG,Silver,20.12
C1345,Renault,Creta,2019,Electric,Red,10.38
C1346,Mahindra,XUV500,2005,Petrol,Green,23.82
C1347,Ford,Seltos,2009,CNG,White,23.25
C1348,Honda,Swift,2024,CNG,Yellow,11.25
C1349,Ford,Ecosport,2022,Petrol,Red,23.99
C1350,Maruti,Polo,2018,Diesel,Red,19.57
C1351,Hyundai,City,2010,Petrol,Blue,10.84
C1352,Renault,Seltos,2009,CNG,Black,23.78
C1353,Hyundai,Nexon,2006,Petrol,Grey,23.79
C1354,Honda,Nexon,2009,CNG,White,15.65
C1355,Kia,Polo,2016,Diesel,Red,14.81
C1356,Ford,XUV500,2005,CNG,Green,24.02
C1357,Renault,Seltos,2018,Hybrid,White,15.37
C1358,Hyundai,Nexon,2011,Diesel,Grey,18.87
C1359,Toyota,Ecosport,2024,Petrol,Red,15.26
C1360,Mahindra,Duster,2019,Hybrid,White,22.76
C1361,Kia,Innova,2015,Electric,Blue,21.79
C1362,Mahindra,XUV500,2018,Electric,Grey,10.07
C1363,Toyota,Creta,2023,Diesel,Silver,22.19
C1364,Volkswagen,Innova,2024,Diesel,Yellow,15.09
C1365,Mahindra,Duster,2012,Electric,Blue,10.67
C1366,Mahindra,Innova,2023,CNG,Silver,13.22
C1367,Volkswagen,Seltos,2022,CNG,Green,20.32
C1368,Kia,Creta,2023,Diesel,White,11.26
C1369,Honda,Creta,2005,Electric,Silver,22.74
C1370,Ford,XUV500,2010,CNG,Black,12.09
C1371,Hyundai,City,2015,Electric,Blue,15.64
C1372,Mahindra,XUV500,2005,Petrol,Yellow,10.47
C1373,Kia,Swift,2011,Petrol,Green,17.4
C1374,Maruti,Creta,2005,CNG,Silver,18.7
C1375,Mahindra,Seltos,2019,Hybrid,Green,17.78
C1376,Renault,Duster,2014,Diesel,Green,13.85
C1377,Toyota,Seltos,2019,Diesel,Yellow,18.93
C1378,Renault,XUV500,2016,Petrol,Blue,22.94
C1379,Renault,City,2012,Electric,Black,13.82
C1380,Renault,Polo,2016,Petrol,Black,24.91
C1381,Kia,Seltos,2023,CNG,Black,17.39
C1382,Mahindra,Polo,2010,Petrol,Green,17.82
C1383,Kia,City,2006,Hybrid,White,11.95
C1384,Honda,Seltos,2019,CNG,Grey,10.95
C1385,Tata,Swift,2012,CNG,Red,21.86
C1386,Kia,Ecosport,2020,Diesel,White,19.22
C1387,Ford,Innova,2006,Diesel,Green,13.29
C1388,Renault,Innova,2017,Hybrid,Yellow,15.98
C1389,Hyundai,City,2010,Diesel,Grey,12.41
C1390,Hyundai,XUV500,2015,Hybrid,Grey,20.64
C1391,Volkswagen,Creta,2008,Petrol,White,23.11
C1392,Mahindra,Duster,2021,Hybrid,Red,19.56
C1393,Hyundai,XUV500,2005,Hybrid,Black,24.28
C1394,Hyundai,Polo,2008,Petrol,Red,10.29
C1395,Volkswagen,Swift,2013,Electric,Yellow,14.85
C1396,Ford,Creta,2015,Electric,Black,18.4
C1397,Honda,City,2006,Petrol,Red,15.26
C1398,Kia,Duster,2010,Petrol,Red,18.36
C1399,Mahindra,Polo,2015,CNG,Blue,22.94
C1400,Toyota,Seltos,2020,Electric,Blue,15.64
C1401,Kia,Innova,2012,Hybrid,Black,20.29
C1402,Honda,Seltos,2014,Electric,Green,16.01
C1403,Hyundai,Nexon,2020,Electric,White,19.55
C1404,Kia,Swift,2012,Hybrid,Red,23.91
C1405,Maruti,XUV500,2012,Electric,Red,15.98
C1406,Tata,Polo,2011,CNG,Yellow,13.3
C1407,Honda,Ecosport,2016,CNG,Yellow,14.27
C1408,Tata,Ecosport,2017,Electric,Blue,16.13
C1409,Toyota,Duster,2015,Electric,Red,18.9
C1410,Ford,XUV500,2009,Petrol,Green,21.44
C1411,Hyundai,XUV500,2022,CNG,Grey,18.31
C1412,Toyota,XUV500,2016,Petrol,Black,18.64
C1413,Hyundai,Innova,2015,Hybrid,White,20.8
C1414,Tata,Nexon,2017,Petrol,Yellow,15.93
C1415,Renault,Duster,2017,Electric,Blue,13.33
C1416,Kia,Nexon,2016,Electric,Yellow,13.56
C1417,Maruti,Nexon,2008,Diesel,Black,20.78
C1418,Toyota,Seltos,2023,Petrol,Grey,16.61
C1419,Maruti,Polo,2015,Hybrid,Silver,20.17
C1420,Ford,Ecosport,2007,Diesel,Black,17.98
C1421,Volkswagen,Seltos,2021,Diesel,Red,15.82
C1422,Maruti,City,2020,Electric,Red,15.09
C1423,Volkswagen,Innova,2011,Hybrid,Black,16.68
C1424,Honda,Swift,2022,Petrol,Yellow,14.1
C1425,Renault,Innova,2021,Hybrid,Silver,17.12
C1426,Honda,Ecosport,2021,Diesel,Green,23.02
C1427,Tata,Duster,2012,Electric,Red,21.17
C1428,Kia,Seltos,2019,Petrol,Black,10.37
C1429,Hyundai,Nexon,2013,Electric,Silver,18.61
C1430,Hyundai,Creta,2007,Electric,Blue,23.81
C1431,Maruti,Nexon,2024,CNG,White,10.8
C1432,Renault,Seltos,2007,Petrol,Grey,14.44
C1433,Tata,Seltos,2020,CNG,Silver,10.07
C1434,Ford,Swift,2022,CNG,Silver,13.28
C1435,Volkswagen,Polo,2006,Petrol,Grey,20.78
C1436,Toyota,Duster,2013,Diesel,Yellow,20.78
C1437,Maruti,XUV500,2007,Diesel,Yellow,23.16
C1438,Renault,XUV500,2008,Hybrid,Grey,12.16
C1439,Renault,Duster,2019,Hybrid,Silver,21.93
C1440,Ford,City,2012,Petrol,Blue,12.28
C1441,Hyundai,Duster,2015,CNG,Yellow,21.03
C1442,Ford,Ecosport,2013,Electric,White,15.99
C1443,Tata,Swift,2018,Electric,Red,13.54
C1444,Volkswagen,Swift,2012,Petrol,Green,12.11
C1445,Renault,Creta,2016,Electric,Silver,13.95
C1446,Kia,Polo,2018,Hybrid,Red,11.83
C1447,Maruti,XUV500,2011,Diesel,Red,10.65
C1448,Ford,XUV500,2016,Hybrid,Grey,18.97
C1449,Tata,Polo,2021,CNG,Blue,15.69
C1450,Hyundai,Seltos,2011,Electric,Red,21.77
C1451,Volkswagen,Nexon,2005,Electric,Red,10.26
C1452,Toyota,City,2016,CNG,Black,21.28
C1453,Toyota,Polo,2008,CNG,White,20.14
C1454,Hyundai,Swift,2023,Hybrid,Green,10.21
C1455,Maruti,Creta,2008,Hybrid,Yellow,20.39
C1456,Mahindra,Duster,2024,Diesel,Black,13.04
C1457,Toyota,Innova,2007,CNG,Green,22.16
C1458,Ford,Ecosport,2006,Electric,White,24.83
C1459,Honda,Swift,2016,Hybrid,Green,13.7
C1460,Toyota,City,2024,CNG,Yellow,23.86
C1461,Toyota,Nexon,2007,Diesel,Yellow,12.92
C1462,Honda,Innova,2010,Electric,Green,23.76
C1463,Renault,Nexon,2015,Diesel,Silver,12.17
C1464,Ford,Ecosport,2019,Electric,White,19.1
C1465,Mahindra,Duster,2021,Diesel,Green,19.92
C1466,Mahindra,City,2022,Diesel,Black,13.75
C1467,Renault,Polo,2009,CNG,Silver,17.1
C1468,Honda,Creta,2005,Diesel,White,21.84
C1469,Renault,Polo,2010,CNG,Yellow,24.37
C1470,Tata,Nexon,2012,Electric,White,14.09
C1471,Volkswagen,XUV500,2017,Hybrid,Green,16.04
C1472,Toyota,Innova,2017,CNG,Red,19.06
C1473,Toyota,Swift,2010,CNG,Grey,15.9
C1474,Honda,Seltos,2018,Hybrid,White,14.33
C1475,Volkswagen,Nexon,2013,Electric,Red,12.41
C1476,Tata,City,2015,Petrol,Black,23.17
C1477,Hyundai,Duster,2014,Diesel,Blue,16.1
C1478,Hyundai,Creta,2019,Electric,Silver,21.15
C1479,Kia,Innova,2008,CNG,Green,11.32
C1480,Honda,XUV500,2005,Hybrid,Silver,11.91
C1481,Tata,Creta,2016,Electric,Red,22.22
C1482,Maruti,Duster,2018,Electric,Silver,20.67
C1483,Hyundai,Creta,2011,Petrol,Black,11.83
C1484,Toyota,Innova,2023,Diesel,Blue,17.12
C1485,Hyundai,Ecosport,2013,Electric,Red,24.62
C1486,Renault,Swift,2015,Hybrid,Black,10.74
C1487,Renault,City,2009,CNG,White,19.32
C1488,Mahindra,City,2023,CNG,Yellow,15.03
C1489,Tata,Seltos,2015,CNG,Red,24.74
